datetime,solar,solar_for_load,solar_for_batt,solar_for_grid,solar_wasted,solar_input,solar_wasted_inv_limit,load,load_from_solar,load_from_grid,load_from_batt,grid,grid_for_batt,grid_for_load,grid_from_solar,grid_on,loss_total,loss_pv,loss_gc,loss_inv,loss_batt,batt_internal,batt,batt_soc,batt_soc_new,graph_load_from_grid_base,graph_solar_for_grid_base,load_from_batt_inverse
2023-01-31,1716.8161919474435,901.723136561056,23.491647624980686,791.6014077614069,0.0,1716.8161919474435,0.0,849.3150684931616,839.5042401383431,0.0,9.810828354818458,-736.9809106258698,0.0,0.0,-736.9809106258698,651,119.52021282841227,34.3363238389489,0.0,83.48926205889646,1.6946269305669057,10.999999999999998,12.694626930566905,737.8633451182038,738.3633451182038,849.3150684931616,925.2147841860367,-9.810828354818458
2023-02-28,1673.1202928190505,808.6431234405571,16.991278847793048,847.4858905307003,0.0,1673.1202928190505,0.0,767.1232876712427,752.8467479231587,0.0,14.27653974808403,-789.009364084082,0.0,0.0,-789.009364084082,588,116.98764106372587,33.46240585638104,0.0,81.90171851343821,1.6235166939066261,1.7763568394002505e-15,1.623516693906628,669.8297855890569,669.8297855890569,767.1232876712427,825.6344022883502,-14.27653974808403
2023-03-31,2000.7353924859976,908.9430597741174,3.676480290704946,1088.1158524211753,0.0,2000.7353924859976,0.0,849.3150684931616,846.2259886497033,0.0,3.08907984345829,-1013.0358586041141,0.0,0.0,-1013.0358586041141,651,138.38446538872196,40.01470784971999,0.0,98.01846984722512,0.351287691776858,-7.216449660063518e-16,0.3512876917768574,743.8444180386069,743.8444180386069,849.3150684931616,912.6195400648223,-3.08907984345829
2023-04-30,1906.6934175211516,875.4997545438189,8.125819184558019,1023.0678437927747,0.0,1906.6934175211516,0.0,821.9178082191886,815.0902714802953,0.0,6.827536738893221,-952.4761625710731,0.0,0.0,-952.4761625710731,630,132.29944673088988,38.133868350423064,0.0,93.38915635738229,0.7764220230845192,0.0,0.7764220230845192,718.6456591229513,718.6456591229513,821.9178082191886,883.6255737283769,-6.827536738893221
2023-05-31,1849.0181485046328,885.5289958779115,29.620041394534205,933.8691112321872,0.0,1849.0181485046328,0.0,849.3150684931616,824.4274951623355,0.0,24.887573330825983,-869.4321425571661,0.0,0.0,-869.4321425571661,651,130.27093745430514,36.98036297009269,0.0,90.4603795289647,2.8301949552477463,2.220446049250313e-15,2.830194955247749,732.4673419956977,732.4673419956977,849.3150684931616,915.1490372724456,-24.887573330825983
2023-06-30,1570.7541339901297,794.9377675277758,97.39117875912099,678.4251877032328,4.440892098500626e-16,1570.7541339901297,0.0,821.9178082191886,740.0870615683592,-2.220446049250313e-16,81.83074665082933,-631.6138497517097,-5.843279076974508e-17,-2.220446049250313e-16,-631.6138497517097,630,117.22247601923137,31.415082679802623,-2.9216395384872566e-18,76.50166620899472,9.305727130434018,-4.9682480351975755e-15,9.305727130434013,688.0662769749179,688.0662769749179,821.9178082191886,892.3289462868968,-81.83074665082933
2023-07-31,1554.1531085619804,840.1586204601826,75.55876775384155,638.4357203479562,-2.7755575615628914e-17,1554.1531085619804,0.0,849.3150684931616,782.18767564843,-4.440892098500626e-16,67.12739284473156,-594.3836556439472,0.0,-4.440892098500626e-16,-594.3836556439472,651,114.48855429948736,31.083062171239636,0.0,75.98414337563737,7.421348752610352,-4.034169874615704,3.3871788779946477,734.4140187797836,734.2306474218465,849.3150684931616,915.7173882140241,-67.12739284473156
2023-08-31,1572.9514923781494,834.5854042014721,90.40039214787868,647.9656960287987,8.881784197001252e-16,1572.9514923781494,0.0,849.3150684931616,776.9990113115705,0.0,72.31605718159105,-603.2560630028115,0.0,0.0,-603.2560630028115,651,116.34619100756069,31.459029847563016,0.0,76.45111218399865,8.43604897599903,4.034169874615705,12.470218850614735,730.4834225406963,730.6667938986334,849.3150684931616,924.9857963493507,-72.31605718159105
2023-09-30,1587.3264669902787,813.4641896439425,76.86328721766209,696.9989901286742,0.0,1587.3264669902787,0.0,821.9178082191886,757.3351605585104,2.220446049250313e-16,64.58264766067816,-648.9060598097956,0.0,2.220446049250313e-16,-648.9060598097956,630,116.50259896129457,31.746529339805605,0.0,77.41178252784134,7.34428709364762,1.3322676295501878e-15,7.344287093647619,697.6022206125917,697.6022206125917,821.9178082191886,890.3274768616046,-64.58264766067816
2023-10-31,1538.55724283784,812.4641834902649,105.7560659466682,620.336993400907,0.0,1538.55724283784,0.0,849.3150684931616,756.4041548294365,8.881784197001252e-16,92.910913663725,-572.5592440202522,4.974496835992165,8.881784197001252e-16,-577.5337408562443,651,116.68293032442632,30.771144856756827,0.24872484179960846,75.09730575523196,10.56575487063793,-1.0769163338864018e-14,10.565754870637917,685.0178323137458,685.0178323137458,849.3150684931616,918.220249436933,-92.910913663725
2023-11-30,1470.4597461012274,808.7248300535638,65.0736168618552,596.6612991858085,-4.440892098500626e-16,1470.4597461012274,0.0,821.9178082191886,752.9228167798678,3.6464060877461004,65.34858535157466,-538.7429171680342,13.102346286207407,3.6464060877461004,-555.4916695419877,630,109.79902071400473,29.409194922024575,0.655117314310371,72.30331956175955,7.431388915910232,-8.43769498715119e-15,7.431388915910223,679.4857575957493,679.4857575957493,818.2714021314424,873.7984469154189,-65.34858535157466
2023-12-31,1559.4143658620276,890.0864536072874,24.570226735945944,644.7576855187943,0.0,1559.4143658620276,0.0,849.3150684931616,828.6704883083845,-2.220446049250313e-16,20.64458018477702,-600.2694052179975,0.0,-2.220446049250313e-16,-600.2694052179975,651,109.82989215086866,31.18828731724058,0.0,76.29391966900845,2.347685164619637,-1.609823385706477e-15,2.347685164619636,742.1164558481829,742.1164558481829,849.3150684931616,914.6566803432333,-20.64458018477702
